player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"JBerk",FRLndaAGK5,2022-08-21T05:34:07.499Z,2022-08-21T06:44:42.527Z,400,286,0,-114
"JBerk",FRLndaAGK5,2022-08-21T04:43:10.209Z,2022-08-21T05:33:34.949Z,300,0,0,-300
"sean",nIjE5tklyI,2022-08-21T04:33:36.721Z,,893,,703,-190
"TheTobacconist",7v3PNAqltW,2022-08-21T04:13:12.872Z,,300,,533,233
"kmz",34a10G4waX,2022-08-21T01:56:26.533Z,2022-08-21T06:11:35.205Z,400,498,0,98
"Doof",fRjWH1I0D0,2022-08-21T01:54:42.758Z,2022-08-21T04:41:37.143Z,200,143,0,-57
"CJW",g_NfkVX0xY,2022-08-21T01:45:20.322Z,2022-08-21T06:11:35.198Z,534,538,0,4
"TB12",x54j0KaHhu,2022-08-21T01:36:14.056Z,2022-08-21T02:01:06.226Z,420,0,0,-420
"Steve W",jsz9ARuMS7,2022-08-21T01:16:36.210Z,2022-08-21T03:13:14.456Z,200,128,0,-72
"Jhon D",v4xDnHQ4un,2022-08-21T01:16:36.208Z,2022-08-21T04:02:21.128Z,200,325,0,125
"JasonD",BYzDkZYWTC,2022-08-21T01:16:36.205Z,2022-08-21T02:56:16.882Z,300,784,0,484
"KevinG",xaYwvsl4ih,2022-08-21T01:16:36.212Z,2022-08-21T05:08:38.643Z,250,430,0,180
"MG",b-R5PpbV7M,2022-08-21T01:16:36.202Z,,420,,449,29
